"Player","Team","Position","ETR Pos Rank","ETR Rank","NFFC ADP","NFFC POS ADP","ADP Differential",
"Tanner Brown","LAR","K","K25","267","300.0","K20","33.0",
"Marvin Jones","DET","WR","WR94","268","235.0","WR94","-33.0",
"Eddy Pineiro","CAR","K","K26","269","300.0","K20","31.0",
"Bryce Young","CAR","QB","QB26","270","231.6","QB25","-38.4",
"Isaiah Likely","BAL","TE","TE33","271","226.4","TE26","-44.6",
"Anders Carlson","GB","K","K27","272","300.0","K20","28.0",
"Tennessee Titans","TEN","DST","DST25","273","300.0","DST25","27.0",
"Josh Reynolds","DET","WR","WR95","274","231.0","WR88","-43.0",
"Keaontay Ingram","ARI","RB","RB69","275","204.4","RB69","-70.6",
"Joey Slye","WAS","K","K28","276","300.0","K20","24.0",
"Terrace Marshall","CAR","WR","WR96","277","236.0","WR95","-41.0",
"Cordarrelle Patterson","ATL","RB","RB70","278","225.2","RB71","-52.8",
"Puka Nacua","LAR","WR","WR97","279","233.3","WR92","-45.7",
"Chase Brown","CIN","RB","RB71","280","182.5","RB59","-97.5",
"Chase McLaughlin","TB","K","K29","281","300.0","K20","19.0",
"Deuce Vaughn","DAL","RB","RB72","282","187.6","RB61","-94.4",
"Ka'imi Fairbairn","HOU","K","K30","283","300.0","K20","17.0",
"Ryan Tannehill","TEN","QB","QB27","284","240.1","QB27","-43.9",
"Mack Hollins","ATL","WR","WR98","285","237.2","WR97","-47.8",
"Deon Jackson","IND","RB","RB73","286","193.1","RB64","-92.9",
"Randall Cobb","NYJ","WR","WR99","287","241.0","WR100","-46.0",
"Matt Prater","ARI","K","K31","288","300.0","K20","12.0",
"Tampa Bay Buccaneers","TB","DST","DST26","289","300.0","DST25","11.0",
"Nick Folk","TEN","K","K32","290","300.0","K20","10.0",
"Indianapolis Colts","IND","DST","DST27","291","300.0","DST25","9.0",
"Cedric Tillman","CLE","WR","WR100","292","237.9","WR98","-54.1",
"Houston Texans","HOU","DST","DST28","293","300.0","DST25","7.0",
"Zach Ertz","ARI","TE","TE34","294","239.0","TE30","-55.0",
"Las Vegas Raiders","LV","DST","DST29","295","300.0","DST25","5.0",
"Latavius Murray","BUF","RB","RB74","296","238.9","RB74","-57.1",
"Los Angeles Rams","LAR","DST","DST30","297","300.0","DST25","3.0",
"Arizona Cardinals","ARI","DST","DST31","298","300.0","DST25","2.0",
"Chicago Bears","CHI","DST","DST32","299","300.0","DST25","1.0",
"Quez Watkins","PHI","WR","WR101","300","300.0","WR101","0.0",
